Evidence,Property,Source,Genome Name,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexCD-OprJ system,"Multidrug efflux system, outer membrane factor lipoprotein => OprJ of MexCD-OprJ system","Multidrug efflux system, outer membrane factor lipoprotein => OprJ of MexCD-OprJ system",efflux pump conferring antibiotic resistance,8878035,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,AmpG permease,the major facilitator superfamily (mfs).,2.A.1.25.5,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algP/algR3,"Alginate regulatory protein AlgP, positive transcriptional regulator of AlgD",,"Antiphagocytosis,Serum resistance",,100,100,92,1.00E-175
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Betaine ABC transporter, substrate-binding protein BetX",the atp-binding cassette (abc) superfamily.,3.A.1.12.12,10984043,100,100,99,1.00E-166
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pchA,Isochorismate synthase (EC 5.4.4.2) @ Isochorismate synthase (EC 5.4.4.2) [pyochelin] siderophore @ Isochorismate synthase (EC 5.4.4.2) of siderophore biosynthesis,,"Iron uptake,Siderophore",,100,100,100,1.00E-283
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,waaC,Lipopolysaccharide core heptosyltransferase I,,"Adherence,Endotoxin",,100,100,99,1.00E-211
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Escherichia coli (strain K12),rpsS,SSU ribosomal protein S19p (S15e),Tigecycline;Tetracycline,Drug target,,97,98,83,1.00E-38
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvcA,"PvcA protein, related to known isonitrile synthases",,,,100,100,99,1.00E-188
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fptA,Outer membrane receptor for ferric-pyochelin FptA @ Outer membrane receptor for ferric siderophore,,"Iron uptake,Siderophore",,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilO,Type IV pilus biogenesis protein PilO,,"Adherence,Twitching motility",,100,100,100,1.00E-111
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexV,"Multidrug efflux system, membrane fusion component => MexV of MexVW-OprM system",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-207
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,rhlB,"RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)",,Biosurfactant,,100,100,99,1.00E-256
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fleN,Flagellar synthesis regulator FleN,,"Adherence,Motility",,100,100,100,1.00E-155
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas putida (strain KT2440),,"Glucose ABC transport system, inner membrane component 1",the atp-binding cassette (abc) superfamily.,3.A.1.1.30,12534463,97,94,83,1.00E-146
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,exsA,"Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)",,"Secretion system,Type III secretion system",,100,100,100,1.00E-161
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas syringae pv. tomato,,"Osmoprotectant ABC transporter, permease protein OsmW",the atp-binding cassette (abc) superfamily.,3.A.1.12.10,12928499,99,97,81,2.00E-93
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,exsC,"Unknown, probably involved in type III secretion",,"Secretion system,Type III secretion system",,100,100,100,4.00E-77
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpS,General secretion pathway protein F,,"Secretion system,Type II secretion system",,100,100,99,1.00E-222
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Uncharacterized MFS-type transporter,the major facilitator superfamily (mfs).,2.A.1.11.8,,100,100,99,1.00E-233
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK3/OpdO,"Outer membrane low permeability porin, OprD family => OccK3/OpdO pyroglutamate, cefotaxime uptake","Outer membrane low permeability porin, OprD family => OccK3/OpdO pyroglutamate, cefotaxime uptake",protein modulating permeability to antibiotic,15687295,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,rhlI,"N-butanoyl-L-homoserine lactone synthase @ N-acyl-L-homoserine lactone synthase, LuxI family (EC 2.3.1.184)",,"Regulation,Quorum sensing system",,100,100,99,1.00E-113
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgC,Flagellar basal-body rod protein FlgC,,"Adherence,Motility",,100,100,100,2.00E-76
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Urea channel UreI,the urea/amide channel (uac) family.,1.A.29.1.1,10984043;2495988;7642533,100,99,100,3.00E-94
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas putida (strain KT2440),ansB,L-glutaminase-L-asparaginase (EC 3.5.1.38),2-Amino-6-Oxo-Hexanoic Acid;4-Carboxy-4-Aminobutanal,Drug target,,98,98,83,1.00E-168
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH38,,Sodium/glycine symporter GlyP,the alanine or glycine:cation symporter (agcs) family.,2.A.25.1.9,,100,100,100,1.00E-261
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,clpV1,T6SS AAA+ chaperone ClpV (TssH),,"Secretion system,Type VI secretion system",,100,100,99,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),mrcA,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),Cefpiramide;Cefoperazone,Drug target,,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexHI-OpmD system,"Multidrug efflux system, outer membrane factor lipoprotein => OpmD of MexHI-OpmD system","Multidrug efflux system, outer membrane factor lipoprotein => OpmD of MexHI-OpmD system",efflux pump conferring antibiotic resistance,12177331,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,chpD,"Transcriptional regulator, AraC family",,"Adherence,Twitching motility",,100,100,100,1.00E-148
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tagT,"ABC transporter, ATP-binding protein",,"Secretion system,Type VI secretion system",,100,100,100,1.00E-132
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Escherichia coli (strain K12),rpsL,SSU ribosomal protein S12p (S23e),Framycetin;Amikacin;Tigecycline;Tobramycin;Gentamicin;Spectinomycin;Netilmicin;Neomycin;Streptomycin;Kanamycin;Ribostamycin;GENTAMICIN C1A;Arbekacin,Drug target,,99,100,88,2.00E-59
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => TriC of TriABC-OpmH system",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.27,10984043,100,100,99,0
BLAT,Antibiotic Resistance,NDARO,Pseudomonas aeruginosa ,Pseudomonas,,Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-II/APH(3')-XV,MULTISPECIES: aminoglycoside O-phosphotransferase APH(3')-IIb,,,100,100,100,1.00E-155
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexPQ-OpmE,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexQ of MexPQ-OpmE system","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexQ of MexPQ-OpmE system",efflux pump conferring antibiotic resistance,16301811,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH38,,"Dipeptide ABC transporter, substrate-binding protein DppA (TC 3.A.1.5.2)",the atp-binding cassette (abc) superfamily.,3.A.1.5.39,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcrR,Type III secretion low calcium response protein (LcrR),,"Secretion system,Type III secretion system",,100,100,100,5.00E-81
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Alginate polymerase/glycosyltransferase Alg8,the putative vectorial glycosyl polymerization (vgp) family.,4.D.1.1.9,,99,100,100,1.00E-291
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,waaP,Lipopolysaccharide core heptose(I) kinase RfaP,,"Adherence,Endotoxin",,100,100,99,1.00E-155
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,nqrB,Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.8),,,14641575,100,100,100,1.00E-240
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas viridiflava UASWS0038,,"ABC transporter involved in cytochrome c biogenesis, CcmB subunit",the atp-binding cassette (abc) superfamily.,3.A.1.107.4,,100,100,90,1.00E-108
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,Alginate biosynthesis two-component system response regulator AlgR,,,,100,100,86,1.00E-121
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108),(2R)-N-hydroxy-3-naphthalen-2-yl-2-[(naphthalen-2-ylsulfonyl)amino]propanamide,Drug target,,100,100,100,1.00E-170
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,phzS,FAD-dependent monooxygenase PhzS,,,15213173,100,100,99,1.00E-234
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OprB,Carbohydrate-selective porin OprB,Carbohydrate-selective porin OprB,protein modulating permeability to antibiotic,7768797;8125108,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Escherichia coli (strain K12),,Rod shape-determining protein MreB,the cell shape-determining mrebcd (mrebcd) family.,9.B.157.1.3,,86,87,80,1.00E-135
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mucC,Sigma factor RpoE regulatory protein RseC,,"Antiphagocytosis,Serum resistance",,100,100,100,5.00E-79
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MdtABC-TolC,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",efflux pump conferring antibiotic resistance,12107134,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,P34750,,Type IV pilus biogenesis protein PilQ,,1.B.22.2.1,10984043;7901733,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexEF-OprN,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexF of MexEF-OprN system","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexF of MexEF-OprN system",efflux pump conferring antibiotic resistance,9044268,,,,
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexVW-OprM,"Multidrug efflux system, membrane fusion component => MexV of MexVW-OprM system","Multidrug efflux system, membrane fusion component => MexV of MexVW-OprM system",efflux pump conferring antibiotic resistance,12951344,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,PA1157,"Two-component transcriptional response regulator, OmpR family",,,14641575,100,100,100,1.00E-131
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Phage protein,the putative transglycosylase-associated holin (t-a hol) family.,1.E.43.1.5,,100,100,100,3.00E-66
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,pbpA,"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)",Ceftazidime;Cefepime,Drug target,,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdD,Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules,,"Iron uptake,Siderophore,Pigment",,14,99,98,1.00E-201
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscG,Type III secretion spans bacterial envelope protein (YscG),,"Secretion system,Type III secretion system",,100,100,100,5.00E-62
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilT,Twitching motility protein PilT,,"Adherence,Twitching motility",,100,100,100,1.00E-194
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,PA0151,Ferrichrome-iron receptor @ Iron siderophore receptor protein,,,14641575,100,100,99,0
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexW,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexW of MexVW-OprM system",,efflux pump conferring antibiotic resistance,,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,lasA,LasA protease precursor,,"Protease,Serine protease",,100,100,99,1.00E-246
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscI,Type III secretion cytoplasmic protein (YscI),,"Secretion system,Type III secretion system",,100,100,99,7.00E-56
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fimU,type 4 fimbrial biogenesis protein FimU,,"Adherence,Twitching motility",,100,100,100,1.00E-88
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Arginine/ornithine ABC transporter, permease protein AotQ",the atp-binding cassette (abc) superfamily.,3.A.1.3.11,10984043;9286980;9791103,100,100,99,1.00E-127
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliK,Flagellar hook-length control protein FliK,,,,100,100,99,1.00E-241
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Yersinia enterocolitica,,"Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)",the type iii (virulence-related) secretory pathway (iiisp) family.,3.A.6.1.1,11402007;14527656;17173484;2160939;8132449,94,96,85,1.00E-201
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Outer membrane low permeability porin, OprD family => OccD7/OpdB proline",the outer membrane porin (opr) family.,1.B.25.1.11,10984043,100,100,99,1.00E-257
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,opmE,"Multidrug efflux system, outer membrane factor lipoprotein => OpmE of MexPQ-OpmE system",,efflux pump conferring antibiotic resistance,,100,100,99,1.00E-277
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgK,Flagellar hook-associated protein FlgK,,"Adherence,Motility",,100,100,94,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdH,"Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)",,,,100,100,99,1.00E-272
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,S12p,SSU ribosomal protein S12p (S23e),SSU ribosomal protein S12p (S23e),antibiotic target in susceptible species,7934937,,,,
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexR,"Multidrug resistance operon repressor MexR, MarR family",,"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,100,100,100,5.00E-80
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzC1,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II PhzC (EC 2.5.1.54),,,,100,100,100,1.00E-238
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),rmlA,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),Thymidine-5'-Phosphate;Thymidine-5'-Triphosphate;Alpha-D-Glucose-1-Phosphate;2'-Deoxy-Thymidine-Beta-L-Rhamnose;2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose;Citric Acid;Deoxythymidine,Drug target,,100,100,99,1.00E-168
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,mucA,Sigma factor RpoE negative regulatory protein RseA,,,12426404,100,100,100,1.00E-105
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tagS,"ABC-type antimicrobial peptide transport system, permease component",,"Secretion system,Type VI secretion system",,100,100,99,1.00E-220
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliJ,Flagellar protein FliJ,,"Adherence,Motility",,100,100,100,6.00E-79
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzB1,Phenazine biosynthesis protein PhzB,,,,96,96,93,5.00E-87
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,hsiC1/vipB,T6SS component TssC (ImpC/VipB),,"Secretion system,Type VI secretion system",,100,100,99,1.00E-296
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,motY,Putative outer membrane protein,,,,100,100,100,1.00E-183
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcr3,Type III secretion protein SctX,,"Secretion system,Type III secretion system",,100,100,100,4.00E-65
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,Ddl,D-alanine--D-alanine ligase (EC 6.3.2.4),D-alanine--D-alanine ligase (EC 6.3.2.4),antibiotic target in susceptible species,24303782;24033232,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain UCBPP-PA14),,hypothetical protein,the chlorhexadine exporter (chx) family.,2.A.117.1.4,,100,100,100,4.00E-80
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Choline binding ABC transport system substrate-binding protein ChoX,the atp-binding cassette (abc) superfamily.,3.A.1.12.12,10984043,100,100,100,1.00E-182
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,exsB,"Type III secretion transporter lipoprotein (YscW,VirG)",,"Secretion system,Type III secretion system",,100,100,99,5.00E-72
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,hsiG1,T6SS component TssF (ImpG/VasA),,"Secretion system,Type VI secretion system",,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,motB,Flagellar motor rotation protein MotB,,,,100,100,100,1.00E-200
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algK,"Alginate export system AlgK/AlgE, periplasmic component AlgK",,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-276
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,icmF1/tssM1,T6SS component TssM (IcmF/VasK),,"Secretion system,Type VI secretion system",,100,93,99,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,phzG,Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5),Riboflavin Monophosphate,Drug target,,100,100,100,1.00E-124
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa MH38,,"ABC transporter, periplasmic substrate-binding protein PA5317",the atp-binding cassette (abc) superfamily.,3.A.1.5.39,,100,100,99,1e-311
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Type III secretion host injection protein (YopB),the bacterial type iii-target cell pore (iiitcp) family.,1.C.36.2.2,10984043;12949185;9371466,100,100,99,1.00E-207
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fleQ,Flagellar regulatory protein FleQ,,"Adherence,Motility",,100,100,100,1.00E-283
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,lasI,"N-(3-oxododecanoyl)-L-homoserine lactone synthase @ N-acyl-L-homoserine lactone synthase, LuxI family (EC 2.3.1.184)",,"Regulation,Quorum sensing system",,100,100,100,1.00E-112
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcr1,Type III secretion outermembrane negative regulator of secretion (TyeA),,"Secretion system,Type III secretion system",,100,100,100,7.00E-46
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,FosA,Fosfomycin resistance protein FosA,,"antibiotic inactivation enzyme,fosfomycin resistance gene",,100,100,100,9.00E-76
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),phzD1,2-amino-2-deoxy-isochorismate hydrolase PhzD (EC 3.-.-.-),Formic Acid;Isochorismic Acid,Drug target,,100,100,100,1.00E-118
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Hemolysin activation/secretion protein associated with VreARI signalling system,the two-partner secretion (tps) family.,1.B.20.3.6,,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OprB family,"Outer membrane low permeability porin, OprB family","Outer membrane low permeability porin, OprB family",protein modulating permeability to antibiotic,,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,prpL,Lysyl endopeptidase (EC 3.4.21.50),,,11500408,100,100,99,1.00E-271
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA5441,hypothetical protein,,,14641575,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,hypothetical protein,the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.32,10984043,100,100,99,2.00E-76
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"PTS system, fructose-specific IIA component (EC 2.7.1.202) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)",the pts fructose-mannitol (fru) family.,4.A.2.1.17,,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fur,Ferric uptake regulation protein FUR,,,7642283,100,100,100,6.00E-71
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system, outer membrane factor lipoprotein => OprM of MexAB-OprM",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.21,10889211;10952562;10984043;11114896;15253424;15507433;15797729;7968531;8226684;8540696;9401051;9603892;9925549,100,100,99,1.00E-274
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1 ,htpG,Chaperone protein HtpG,,,12023080,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14 ,wspF,Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61),,,18591226,100,100,100,1.00E-189
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pcrD,"Type III secretion inner membrane channel protein (LcrD,HrcV,EscV,SsaV)",,"Secretion system,Type III secretion system",,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscT,"Type III secretion inner membrane protein (YscT,HrcT,SpaR,EscT,EpaR1,homologous to flagellar export components)",,"Secretion system,Type III secretion system",,100,100,99,1.00E-142
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,mexN,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB-like",,efflux pump conferring antibiotic resistance,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mbtH-like,MbtH-like NRPS chaperone,,,,100,100,100,4.00E-37
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,flgD,Flagellar basal-body rod modification protein FlgD,,"Adherence,Motility",,100,100,100,1.00E-129
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OxyR,Hydrogen peroxide-inducible genes activator => OxyR,Hydrogen peroxide-inducible genes activator => OxyR,regulator modulating expression of antibiotic resistance genes,25799046,,,,
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,"Type III secretion cytoplasmic LcrG inhibitor (LcrV,secretion and targeting control protein, V antigen)",,,,100,100,100,1.00E-163
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,toxA,hypothetical protein,,"Toxin,Intracellular toxin,ADP-ribosyltransferase,A-B type,Molecular mimicry",,100,100,99,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),pobA,P-hydroxybenzoate hydroxylase (EC 1.14.13.2),"4-Aminobenzoic Acid;2,4-Dihydroxybenzoic Acid;Flavin adenine dinucleotide;8-Demethyl-8-Dimethylamino-Flavin-Adenine-Dinucleotide;P-Hydroxybenzoic Acid",Drug target,,100,100,99,1.00E-230
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,pgm,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)",,,14641575,100,100,99,1.00E-300
